2016-10-13T00:00, G.V.C., 64.6, NEW DAWN TRANSIT, 57.2, RELIANT TRANS, 46.599999999999994, PIONEER TRANSPORTATION CO, 46.599999999999994, LITTLE RICHIE BUS SERVICE, 29.2
2016-10-20T00:00, PIONEER TRANSPORTATION CO, 68.3, NEW DAWN TRANSIT, 67.1, RELIANT TRANS, 48.300000000000004, G.V.C., 45.1, VAN TRANS LLC , 30.3
2016-10-27T00:00, RELIANT TRANS, 69.3, PIONEER TRANSPORTATION CO, 66.6, NEW DAWN TRANSIT, 55.599999999999994, G.V.C., 42.8, LITTLE RICHIE BUS SERVICE, 35.3
2016-11-03T00:00, RELIANT TRANS, 48.5, NEW DAWN TRANSIT, 44.5, PIONEER TRANSPORTATION CO, 36.4, G.V.C., 33.199999999999996, BORO TRANSIT, 23.3
2016-11-10T00:00, NEW DAWN TRANSIT, 53.5, PIONEER TRANSPORTATION CO, 42.1, RELIANT TRANS, 41.0, LEESEL TRANSP CORP , 30.2, BORO TRANSIT, 28.5
2016-11-17T00:00, NEW DAWN TRANSIT, 67.1, RELIANT TRANS, 55.5, PIONEER TRANSPORTATION CO, 45.4, G.V.C., 36.1, LITTLE RICHIE BUS SERVICE, 26.5
2016-11-24T00:00, NEW DAWN TRANSIT, 61.4, RELIANT TRANS, 34.99999999999999, G.V.C., 26.599999999999998, LEESEL TRANSP CORP , 25.9, PIONEER TRANSPORTATION CO, 25.6
2016-12-01T00:00, NEW DAWN TRANSIT, 89.5, RELIANT TRANS, 55.0, G.V.C., 45.0, PIONEER TRANSPORTATION CO, 43.1, MAR-CAN TRANSPORT CO. INC, 37.9
2016-12-08T00:00, NEW DAWN TRANSIT, 117.1, PIONEER TRANSPORTATION CO, 49.0, RELIANT TRANS, 42.5, G.V.C., 34.8, LITTLE RICHIE BUS SERVICE, 33.0
2016-12-15T00:00, NEW DAWN TRANSIT, 132.79999999999998, RELIANT TRANS, 55.1, PIONEER TRANSPORTATION CO, 50.6, G.V.C., 43.1, LITTLE RICHIE BUS SERVICE, 39.900000000000006
2016-12-22T00:00, NEW DAWN TRANSIT, 40.6, RELIANT TRANS, 13.2, PIONEER TRANSPORTATION CO, 12.600000000000001, LITTLE RICHIE BUS SERVICE, 11.0, G.V.C., 9.899999999999999
2016-12-29T00:00, NEW DAWN TRANSIT, 66.39999999999999, RELIANT TRANS, 21.0, LITTLE RICHIE BUS SERVICE, 20.700000000000003, G.V.C., 20.499999999999996, BORO TRANSIT, 17.4
2017-01-05T00:00, NEW DAWN TRANSIT, 174.9, RELIANT TRANS, 71.79999999999998, PIONEER TRANSPORTATION CO, 55.0, G.V.C., 50.3, LITTLE RICHIE BUS SERVICE, 46.4
2017-01-12T00:00, NEW DAWN TRANSIT, 137.0, G.V.C., 60.8, RELIANT TRANS, 44.199999999999996, LEESEL TRANSP CORP , 32.4, PIONEER TRANSPORTATION CO, 28.7
2017-01-19T00:00, NEW DAWN TRANSIT, 119.1, G.V.C., 69.6, RELIANT TRANS, 44.0, PIONEER TRANSPORTATION CO, 39.6, BORO TRANSIT, 38.300000000000004
2017-01-26T00:00, G.V.C., 64.7, NEW DAWN TRANSIT, 56.699999999999996, RELIANT TRANS, 49.2, PIONEER TRANSPORTATION CO, 43.7, SNT BUS INC, 22.900000000000002
2017-02-02T00:00, G.V.C., 78.5, RELIANT TRANS, 46.6, PIONEER TRANSPORTATION CO, 42.2, NEW DAWN TRANSIT, 38.199999999999996, LITTLE RICHIE BUS SERVICE, 37.6
2017-02-09T00:00, RELIANT TRANS, 67.2, PIONEER TRANSPORTATION CO, 64.0, G.V.C., 63.4, NEW DAWN TRANSIT, 37.2, BORO TRANSIT, 36.3
2017-02-16T00:00, G.V.C., 26.599999999999998, RELIANT TRANS, 21.5, NEW DAWN TRANSIT, 18.4, BORO TRANSIT, 15.8, LITTLE RICHIE BUS SERVICE, 12.3
2017-02-23T00:00, RELIANT TRANS, 42.199999999999996, G.V.C., 38.99999999999999, NEW DAWN TRANSIT, 34.7, BORO TRANSIT, 24.4, PIONEER TRANSPORTATION CO, 23.599999999999998
2017-03-02T00:00, RELIANT TRANS, 50.8, G.V.C., 44.099999999999994, PIONEER TRANSPORTATION CO, 38.199999999999996, NEW DAWN TRANSIT, 32.4, LEESEL TRANSP CORP , 30.400000000000002
2017-03-09T00:00, PIONEER TRANSPORTATION CO, 66.0, NEW DAWN TRANSIT, 40.9, G.V.C., 32.900000000000006, BORO TRANSIT, 26.0, LEESEL TRANSP CORP , 25.2
2017-03-16T00:00, PIONEER TRANSPORTATION CO, 77.9, G.V.C., 70.29999999999998, NEW DAWN TRANSIT, 62.6, LEESEL TRANSP CORP , 61.099999999999994, RELIANT TRANS, 34.3
2017-03-23T00:00, PIONEER TRANSPORTATION CO, 63.099999999999994, G.V.C., 62.6, LEESEL TRANSP CORP , 62.3, NEW DAWN TRANSIT, 41.89999999999999, RELIANT TRANS, 41.8
2017-03-30T00:00, LEESEL TRANSP CORP , 112.3, RELIANT TRANS, 81.39999999999999, PIONEER TRANSPORTATION CO, 62.7, G.V.C., 55.0, NEW DAWN TRANSIT, 43.2
2017-04-06T00:00, LEESEL TRANSP CORP , 46.699999999999996, RELIANT TRANS, 26.6, G.V.C., 21.8, FIRST STEPS TRANSP INC. (, 16.7, PIONEER TRANSPORTATION CO, 16.6
2017-04-13T00:00, LEESEL TRANSP CORP , 19.1, RELIANT TRANS, 16.599999999999998, NEW DAWN TRANSIT, 13.7, PIONEER TRANSPORTATION CO, 12.0, G.V.C., 10.9
