2015-12-10T00:00, G.V.C., 16.0, RELIANT TRANS, 11.3, LEESEL TRANSP CORP , 10.799999999999999, PIONEER TRANSPORTATION CO, 8.6, NEW DAWN TRANSIT, 6.8
2015-12-11T00:00, LEESEL TRANSP CORP , 11.8, NEW DAWN TRANSIT, 11.4, G.V.C., 11.1, RELIANT TRANS, 7.7, PIONEER TRANSPORTATION CO, 7.6
2015-12-14T00:00, LEESEL TRANSP CORP , 11.6, RELIANT TRANS, 10.799999999999999, G.V.C., 10.0, PIONEER TRANSPORTATION CO, 7.6, NEW DAWN TRANSIT, 6.6
2015-12-15T00:00, G.V.C., 12.0, PIONEER TRANSPORTATION CO, 5.800000000000001, NEW DAWN TRANSIT, 5.6, RELIANT TRANS, 5.5, LEESEL TRANSP CORP , 5.3
2015-12-16T00:00, NEW DAWN TRANSIT, 12.0, G.V.C., 11.8, MAR-CAN TRANSPORT CO. INC, 11.299999999999999, BORO TRANSIT, 5.9, HAPPY CHILD TRANS LLC , 5.6
2015-12-17T00:00, G.V.C., 13.8, RELIANT TRANS, 12.700000000000001, NEW DAWN TRANSIT, 12.399999999999999, PIONEER TRANSPORTATION CO, 9.6, LEESEL TRANSP CORP , 6.4
2015-12-18T00:00, NEW DAWN TRANSIT, 19.5, G.V.C., 11.7, RELIANT TRANS, 9.5, PIONEER TRANSPORTATION CO, 5.7, BORO TRANSIT, 5.2
2015-12-21T00:00, G.V.C., 14.0, NEW DAWN TRANSIT, 9.3, RELIANT TRANS, 8.9, PIONEER TRANSPORTATION CO, 5.8, LITTLE RICHIE BUS SERVICE, 5.300000000000001
2015-12-22T00:00, NEW DAWN TRANSIT, 9.8, G.V.C., 8.600000000000001, RELIANT TRANS, 8.2, PIONEER TRANSPORTATION CO, 6.0, LEESEL TRANSP CORP , 4.6000000000000005
2015-12-23T00:00, NEW DAWN TRANSIT, 7.9, PIONEER TRANSPORTATION CO, 6.5, RELIANT TRANS, 5.7, G.V.C., 5.6, BORO TRANSIT, 2.8000000000000003
2015-12-24T00:00, RELIANT TRANS, 0.3, LEESEL TRANSP CORP , 0.3
